image,Predicted Content Type,timestamp
.gradio\flagged\image\956e58e76d9c9d5ab495\clipboard.png,"{""label"": ""Anime Picture"", ""confidences"": [{""label"": ""Anime Picture"", ""confidence"": 0.896}, {""label"": ""Hentai"", ""confidence"": 0.104}, {""label"": ""Normal"", ""confidence"": 0.0}, {""label"": ""Pornography"", ""confidence"": 0.0}, {""label"": ""Enticing or Sensual"", ""confidence"": 0.0}]}",2025-11-02 00:21:43.591192
.gradio\flagged\image\1c6d61bc106cf7085854\test.jpg,"{""label"": null, ""confidences"": null}",2025-11-05 13:11:30.237564
